#gene	chrom	chrom_start	chrom_stop	domain	count
CC1G_02048	Chr_3	1917705	1920936	RhoGAP	1
CC1G_03305	Chr_3	2816993	2822171	RhoGAP	1
CC1G_03647	Chr_1	1932601	1934984	RhoGAP	1
CC1G_05669	Chr_7	2041658	2045227	RhoGAP	1
CC1G_05680	Chr_7	2064029	2068922	RhoGAP	1
CC1G_05763	Chr_7	2285773	2288286	RhoGAP	1
CC1G_05970	Chr_3	163676	167284	RhoGAP	1
CC1G_06014	Chr_3	280294	286794	RhoGAP	1
CC1G_07593	Chr_4	2566677	2569157	RhoGAP	1
CC1G_08014	Chr_8	407351	409916	RhoGAP	1
CC1G_09036	Chr_7	1778976	1782664	RhoGAP	1
CC1G_11457	Chr_6	843781	845496	RhoGAP	1
CC1G_11552	Chr_3	2255685	2259900	RhoGAP	1
