#chrom	start	stop	class
I	247	267	Simple_repeat
I	5114	5245	Unknown:R97
I	5162	5330	Unknown:R97
I	5317	5455	Unknown:R97
I	5418	5570	Unknown:R97
I	5580	5860	Unknown:R97
I	5631	5909	Unknown:R97
I	5903	5992	Unknown:R97
I	6050	6452	Unknown:R180
I	6450	6843	Unknown:R6
I	6844	6927	Unknown:R180
I	6868	7064	Unknown:R180
I	7014	7114	Unknown:R398
I	7112	7549	Unknown:R8
I	7757	7875	Unknown:R335
I	9366	9490	Simple_repeat
I	11548	11662	Simple_repeat
I	12637	12704	Simple_repeat
I	13601	13626	Simple_repeat
I	20519	20571	Simple_repeat
I	21312	21364	Simple_repeat
I	35056	35146	Simple_repeat
I	35681	35779	Simple_repeat
I	37642	37668	Simple_repeat
I	37923	37959	Simple_repeat
I	38028	38128	Simple_repeat
I	39154	39456	Unknown:R299
I	39474	40519	Unknown:R236
I	40524	40586	Unknown:R446
I	40977	42782	Unknown:R61
I	42761	43388	Unknown:R423
I	44755	44777	Simple_repeat
I	46277	46654	Unknown:R205
I	46870	46926	Unknown:R151
I	48552	48738	Unknown:R455
I	48849	49151	Unknown:R299
I	49169	50214	Unknown:R236
I	50220	50282	Unknown:R446
I	50673	52478	Unknown:R61
I	52457	53084	Unknown:R423
I	62781	62914	Unknown:R493
I	63235	63298	Unknown:R489
I	63796	64366	Unknown:R197
I	64351	64999	Unknown:R264
I	64926	65018	Unknown:R474
I	65181	65412	Unknown:R438
I	66078	66137	Unknown:R484
I	66191	66267	Unknown:R498
I	66290	66363	Unknown:R466
I	66516	66585	Unknown:R487
I	67724	67835	Unknown:R445
I	67954	68936	Unknown:R256
I	68914	68992	Unknown:R163
I	69016	70476	Unknown:R163
I	70469	71040	Unknown:R280
I	71408	71466	Unknown:R274
I	71681	71796	Unknown:R519
I	72000	72451	Unknown:R0
I	72452	72477	Simple_repeat
I	72478	73244	Unknown:R0
I	73246	74863	Unknown:R0
I	74861	75430	Unknown:R197
I	75415	76063	Unknown:R264
I	75990	76082	Unknown:R474
I	76245	76476	Unknown:R438
I	77141	77200	Unknown:R484
I	77253	77329	Unknown:R498
I	77352	77425	Unknown:R466
I	77578	77647	Unknown:R487
I	78788	78899	Unknown:R445
I	79018	80001	Unknown:R256
I	79979	80057	Unknown:R163
I	80081	81540	Unknown:R163
I	81538	82163	Unknown:R5
I	81756	88071	Unknown:R68
I	84730	88497	Unknown:R0
I	88498	89067	Unknown:R280
I	89438	89496	Unknown:R274
I	90164	90187	Simple_repeat
I	92522	92605	Simple_repeat
I	93635	93684	Simple_repeat
I	96058	96252	Unknown:R131
I	98176	98249	Unknown:R310
I	98284	98384	Unknown:R192
I	101660	101854	Unknown:R131
I	102937	102970	Simple_repeat
I	103724	103763	Simple_repeat
I	125159	125291	Unknown:R127
I	127200	127228	Simple_repeat
I	146603	147000	Unknown:R1
I	149596	149819	Unknown:R499
I	163583	163678	Unknown:R69
I	163600	163784	Unknown:R80
I	163792	163915	Unknown:R80
I	169526	170111	Unknown:R61
I	187290	187322	Simple_repeat
I	188957	189082	Unknown:R41
I	189079	189416	Unknown:R138
I	189344	189469	Unknown:R41
I	192731	192813	Unknown:R124
I	194775	194885	Simple_repeat
I	195439	195526	Unknown:R175
I	195707	195759	Unknown:R87
I	196680	196801	Unknown:R157
I	210753	210846	Simple_repeat
I	212317	212348	Simple_repeat
I	215266	215312	Simple_repeat
I	216885	216945	Unknown:R241
I	217406	217452	Simple_repeat
I	238826	239114	Unknown:R181
I	239107	239287	Unknown:R189
I	239463	239584	Unknown:R395
I	239550	239650	Unknown:R322
I	241710	241758	Unknown:R449
I	242972	243252	Unknown:R249
I	263734	263915	Unknown:R118
I	263954	264565	Unknown:R104
I	264918	265397	Unknown:R153
I	265107	265545	Unknown:R306
I	297963	297987	Simple_repeat
I	304280	304468	Unknown:R118
I	304519	305118	Unknown:R104
I	305489	306013	Unknown:R153
I	312877	313065	Unknown:R118
I	313135	313781	Unknown:R104
I	314064	314663	Unknown:R153
I	314296	314716	Unknown:R306
