#gene	chrom	chrom_start	chrom_stop	domain	count
CC1G_00591	Chr_1	3326271	3327613	Tyrosinase	1
CC1G_00628	Chr_1	3420849	3422230	Tyrosinase	1
CC1G_00642	Chr_1	3455163	3456520	Tyrosinase	1
CC1G_00966	Chr_7	1572233	1574676	Tyrosinase	1
CC1G_02471	Chr_9	905794	907237	Tyrosinase	1
CC1G_02744	Chr_1	103205	104887	Tyrosinase	1
CC1G_02758	Chr_1	136512	138261	Tyrosinase	1
CC1G_05029	Chr_8	1856926	1859323	Tyrosinase	1
CC1G_05599	Chr_13	141975	143318	Tyrosinase	1
CC1G_05636	Chr_13	242720	244193	Tyrosinase	1
CC1G_06016	Chr_3	288497	289864	Tyrosinase	1
CC1G_06017	Chr_3	290424	291818	Tyrosinase	1
CC1G_08048	Chr_8	504726	506125	Tyrosinase	1
CC1G_09595	Chr_3	13670	17496	Tyrosinase	1
CC1G_09596	Chr_3	17682	19265	Tyrosinase	1
CC1G_09997	Chr_9	2423159	2425012	Tyrosinase	1
CC1G_10006	Chr_9	2444390	2445981	Tyrosinase	1
CC1G_10470	Chr_12	30883	32454	Tyrosinase	1
CC1G_10864	Chr_10	2143368	2144644	Tyrosinase	1
CC1G_14163	Chr_3	1411226	1413399	Tyrosinase	1
